Réseau,Produit,Années d'exercice,Garantie,Les primes émises_garantie Décès 2022,(REC/Provisions Mathématiques)_Décès au 01/01/2022,Provisions pour SAP AU 01/01/2022,TOTAL  CREDIT,Les sinistres payés_Décès de l'éxercice 2022,(REC/Provisions Mathématiques)_Décès au 31/12/2022,Provisions pour SAP au 31/12/2022,Report du solde Débiteur eventuel des exercices anterieurs ,TOTAL DEBIT,Résultat technique,Charge sinistre (N),Charge sinistre (N-1),Charge sinistre (N-2),Charge sinistre (N-3),NB d'année contrat,MOYENNE,Provision d'égalisation
C20,prévoyance,2022,Décés,12677599.02,0,0,12677599.02,2012180.32,0,0,0,2012180.32,10665418.7,2012180.32,2012180.32,0,0,,670726.7733333333,100609.01599999999
C21,prévoyance,2022,Décés,82435.48999999987,0,0,82435.48999999987,0,0,0,211313.55000000028,211313.55000000028,-128878.0600000004,0,0,0,0,,0,0
C22,prévoyance,2022,Décés,624374.847233817,573136.6911816763,0,1197511.5384154934,0,415679.6928159385,0,0,415679.6928159385,781831.845599555,0,0,0,0,,0,0
C23,prévoyance,2022,Décés,17295.940415779995,0,0,17295.940415779995,0,0,0,0,0,17295.940415779995,0,0,0,0,,0,0
C24,prévoyance,2022,Décés,558871.3200000001,422314.4554520548,0,981185.7754520548,0,418005.12427397264,0,2509166.4258630127,2927171.5501369853,-1945985.7746849305,0,0,0,3000000,,1000000,0
C25,prévoyance,2022,Décés,50457.5368387344,0,0,50457.5368387344,0,20874.213870270945,0,0,20874.213870270945,29583.322968463453,0,0,0,0,,0,0
C26,prévoyance,2022,Décés,511145.64,107882.5906849315,0,619028.2306849315,0,109231.12306849317,0,0,109231.12306849317,509797.10761643836,0,0,0,0,,0,0
C27,prévoyance,2022,Décés,11533971.113738908,73289.84400810054,0,11607260.957747009,2000000,5402365.582621381,3000000,0,10402365.58262138,1204895.375125628,5000000,5000000,0,0,,1666666.6666666667,250000
C28,prévoyance,2022,Décés,475021.99273964355,306111.38004207483,0,781133.3727817184,0,196515.947681332,0,0,196515.947681332,584617.4251003864,0,0,0,0,,0,0
C29,prévoyance,2022,Décés,76348.8,0,0,76348.8,0,12341.312876712329,0,0,12341.312876712329,64007.487123287676,0,0,0,0,,0,0
C30,prévoyance,2022,Décés,135191.736418135,0,0,135191.736418135,0,33334.9487058415,0,0,33334.9487058415,101856.7877122935,0,0,0,0,,0,0
C31,prévoyance,2022,Décés,2111316.1976487874,342048.82984569017,0,2453365.0274944776,0,341281.24838706426,0,0,341281.24838706426,2112083.7791074133,0,0,0,0,,0,0
C32,prévoyance,2022,Décés,82547640,0,24000000,106547640,68400000,0,50400000,0,118800000,-12252360,94800000,94800000,103200000,50400000,,82800000,0
C33,prévoyance,2022,Décés,99316539,0,46800000,146116539,20400000,0,27600000,0,48000000,98116539,1200000,1200000,84000000,18000000,,34400000,5160000
C34,prévoyance,2022,Décés,94347000,0,0,94347000,3000000,23263643.835616436,33000000,0,59263643.83561644,35083356.16438356,36000000,36000000,0,0,,12000000,1800000
C35,prévoyance,2022,Décés,40946787,0,19200000,60146787,7200000,0,42000000,0,49200000,10946787,30000000,30000000,32400000,2400000,,21600000,3240000
C36,prévoyance,2022,Décés,115160724,0,38400000,153560724,123600000,0,84000000,0,207600000,-54039276,169200000,169200000,38400000,0,,69200000,0
C37,prévoyance,2022,Décés,50310.96,0,0,50310.96,0,0,0,0,0,50310.96,0,0,0,0,,0,0
C38,prévoyance,2022,Décés,2803.410814189594,1014.7963118487676,0,3818.207126038362,0,1159.7672135414487,0,0,1159.7672135414487,2658.439912496913,0,0,0,0,,0,0
C39,prévoyance,2022,Décés,128375.00298928555,85466.09788053806,0,213841.1008698236,0,85466.09788053806,0,1797056.4324889737,1882522.5303695118,-1668681.429499688,0,0,1500000,500000,,666666.6666666666,0
C40,prévoyance,2022,Décés,18373.32,0,0,18373.32,0,13742.236602739726,0,0,13742.236602739726,4631.083397260274,0,0,0,0,,0,0
C41,prévoyance,2022,Décés,4397839.411554469,847853.5634364447,0,5245692.974990914,500000,1084398.7590134307,1000000,0,2584398.7590134307,2661294.215977483,1500000,1500000,0,0,,500000,75000
C42,prévoyance,2022,Décés,834701.22,0,0,834701.22,0,0,0,0,0,834701.22,0,0,0,3000000,,1000000,150000
C43,prévoyance,2022,Décés,107621.59319527059,16337.457816325534,0,123959.05101159612,0,16337.457816325534,0,0,16337.457816325534,107621.59319527059,0,0,0,0,,0,0
C44,prévoyance,2022,Décés,302286.72,0,0,302286.72,0,0,0,0,0,302286.72,0,0,0,0,,0,0
C45,prévoyance,2022,Décés,819395.64,0,0,819395.64,0,0,0,0,0,819395.64,0,0,0,0,,0,0
C46,prévoyance,2022,Décés,729369.5047634878,580285.0827106285,0,1309654.5874741164,0,562151.1738759213,0,3955713.6182516944,4517864.792127616,-3208210.2046534996,0,0,0,0,,0,0
C47,prévoyance,2022,Décés,2169370.551336532,0,0,2169370.551336532,1210927.2,0,0,0,1210927.2,958443.351336532,1210927.2,1210927.2,0,0,,403642.39999999997,60546.35999999999
C48,prévoyance,2022,Décés,2996484.12,811163.3523287671,0,3807647.472328767,0,738859.0980821918,300000,0,1038859.0980821918,2768788.3742465754,300000,300000,0,1400000,,566666.6666666666,84999.99999999999
C49,prévoyance,2022,Décés,3520119.5795968417,683542.7338571325,0,4203662.313453974,0,1157299.5878126603,0,0,1157299.5878126603,3046362.725641314,0,0,0,0,,0,0
C50,prévoyance,2022,Décés,16004.17360805126,13136.322288093534,0,29140.495896144792,0,13136.322288093534,0,0,13136.322288093534,16004.173608051258,0,0,0,0,,0,0
C51,prévoyance,2022,Décés,6115350.36,0,2500000,8615350.36,7000000,0,2000000,0,9000000,-384649.6400000006,6500000,6500000,6500000,0,,4333333.333333333,0
C52,prévoyance,2022,Décés,289142.4,0,0,289142.4,0,0,0,0,0,289142.4,0,0,0,0,,0,0
C53,prévoyance,2022,Décés,44354133.36000001,0,11350000,55704133.36000001,29400000,0,8450000,0,37850000,17854133.360000007,26500000,26500000,32200000,11500000,,23400000,3510000
C54,prévoyance,2022,Décés,74751.84,0,0,74751.84,0,2867.193863013699,0,0,2867.193863013699,71884.6461369863,0,0,0,0,,0,0
C55,prévoyance,2022,Décés,3700772.88,0,1000000,4700772.88,2500000,0,0,0,2500000,2200772.88,1500000,1500000,2360000,180000,,1346666.6666666667,202000
C56,prévoyance,2022,Décés,8613076.68,2377226.643287671,0,10990303.32328767,6000000,2454136.917041096,4000000,0,12454136.917041097,-1463833.5937534273,10000000,10000000,0,0,,3333333.3333333335,0
C57,prévoyance,2022,Décés,80816.78,35200.90487671233,0,116017.68487671233,0,33928.58301369863,0,0,33928.58301369863,82089.1018630137,0,0,0,0,,0,0
C58,prévoyance,2022,Décés,345054.6,0,0,345054.6,0,29306.00712328767,0,0,29306.00712328767,315748.5928767123,0,0,0,0,,0,0
C59,prévoyance,2022,Décés,208716.48,0,0,208716.48,0,0,0,0,0,208716.48,0,0,0,0,,0,0
C60,prévoyance,2022,Décés,147910.09469369068,33192.691713621825,0,181102.7864073125,0,36470.9822532388,0,0,36470.9822532388,144631.8041540737,0,0,0,0,,0,0
C61,prévoyance,2022,Décés,621238.3200000001,0,0,621238.3200000001,0,0,0,0,0,621238.3200000001,0,0,0,0,,0,0
C62,prévoyance,2022,Décés,61868.399999999994,29252.97205479452,0,91121.37205479451,0,30679.946301369862,0,0,30679.946301369862,60441.42575342465,0,0,0,0,,0,0
C63,prévoyance,2022,Décés,2899410,0,0,2899410,0,714923.0136986302,0,0,714923.0136986302,2184486.98630137,0,0,0,0,,0,0
C64,prévoyance,2022,Décés,5375366.703464143,0,0,5375366.703464143,0,0,500000,17546260.858922802,18046260.858922802,-12670894.155458659,500000,500000,22926123.770000003,0,,7808707.923333335,0
C65,prévoyance,2022,Décés,55704.479999999996,12942.927123287669,0,68647.40712328766,0,13735.35123287671,0,0,13735.35123287671,54912.05589041095,0,0,0,0,,0,0
C66,prévoyance,2022,Décés,4038613.56,0,0,4038613.56,0,2002709.737972603,0,0,2002709.737972603,2035903.822027397,0,0,0,0,,0,0
